gene_id,Stat3null_ESC_2iLIF_1,Stat3null_ESC_2iLIF_2,Stat3null_EpiSC_2,Stat3null_EpiSC_6,WT_ESC_2iLIF_1,WT_ESC_2iLIF_2,WT_ESC_2i_1,WT_ESC_2i_2,WT_EpiSC_13,WT_EpiSC_8
ENSMUSG00000051951.5|Xkr4,44,32,518,961,4,5,52,33,1384,1023
ENSMUSG00000061024.8|Rrs1,9168,9044,3518,3852,6785,5984,10748,11514,5003,5673
ENSMUSG00000081441.3|Gm6161,2335,2441,868,1036,2088,2448,2702,2658,1379,1171
ENSMUSG00000067879.3|3110035E14Rik,4,0,0,4,0,0,0,0,4,9
ENSMUSG00000025912.16|Mybl1,589,928,2443,3358,426,693,847,474,4945,3123
ENSMUSG00000097893.8|1700034P13Rik,14,10,12,8,14,6,44,14,19,15
ENSMUSG00000045210.8|Vcpip1,2147,3025,4555,7317,2452,2900,2502,2686,10640,7889
ENSMUSG00000025915.14|Sgk3,608,775,305,593,1177,1109,608,749,1022,847
ENSMUSG00000046334.4|Gm6195,65,20,22,8,12,12,14,32,23,16
ENSMUSG00000088916.1|Gm22607,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000046101.16|Mcmdc2,46,20,71,375,64,118,39,35,875,449
ENSMUSG00000098234.7|Snhg6,1097,1230,767,995,1009,978,1006,548,1731,1103
ENSMUSG00000093178.1|Snord87,25,28,108,127,12,8,10,9,295,135
ENSMUSG00000025916.10|Ppp1r42,0,0,0,4,0,0,0,0,0,8
ENSMUSG00000087199.1|Gm15818,0,0,3,0,0,0,0,0,0,0
ENSMUSG00000099032.2|Tcf24,123,112,140,215,453,416,198,212,286,231
ENSMUSG00000104025.1|E330040D14Rik,2,0,0,5,0,0,0,0,0,0
ENSMUSG00000025917.9|Cops5,6385,6228,3827,5798,6295,6380,5825,6171,7613,6260
ENSMUSG00000056763.16|Cspp1,2326,2717,2563,3697,1878,1641,2741,1715,5859,3836
ENSMUSG00000102356.1|1700047N06Rik,0,0,32,13,0,0,0,0,58,35
ENSMUSG00000088153.1|Gm26348,0,0,1,12,0,0,0,0,23,8
ENSMUSG00000102556.1|Gm37569,0,0,33,88,0,0,0,0,114,116
ENSMUSG00000067851.11|Arfgef1,3650,4376,11057,14642,4319,4898,4084,4519,20592,15673
ENSMUSG00000042501.12|Cpa6,2,0,2,0,24,0,0,0,4,4
ENSMUSG00000103810.1|Gm38005,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000083422.1|Gm15604,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094979.1|Gm25253,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081417.1|Gm15603,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000103448.1|Gm37133,0,0,20,32,0,0,0,0,30,18
ENSMUSG00000100212.1|Gm5522,10,12,31,74,2,8,10,3,74,39
ENSMUSG00000048960.13|Prex2,676,744,2287,3221,1299,1544,762,635,5425,4456
ENSMUSG00000077318.1|Gm24173,0,0,0,4,0,0,0,0,5,3
ENSMUSG00000101827.1|Gm28686,0,0,0,4,0,1,0,0,11,6
ENSMUSG00000103494.1|Gm37410,0,0,3,5,2,4,0,0,17,0
ENSMUSG00000057715.13|A830018L16Rik,248,357,711,1455,275,311,164,122,2101,1008
ENSMUSG00000103825.1|Gm38178,19,0,32,95,0,0,3,3,139,35
ENSMUSG00000099845.1|Gm29273,2,0,9,8,5,0,0,0,11,6
ENSMUSG00000103561.1|Gm38069,8,0,10,6,0,29,0,0,13,6
ENSMUSG00000101610.1|Gm7560,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000097628.1|Gm2383,8,4,0,0,4,0,6,0,1,2
ENSMUSG00000016918.15|Sulf1,2712,2810,5822,12179,2295,2692,3520,4090,26518,16838
ENSMUSG00000025938.16|Slco5a1,147,181,1229,1900,122,203,268,215,2965,1621
ENSMUSG00000069620.6|Gm5250,19,6,0,0,3,11,0,3,0,0
ENSMUSG00000099498.1|Gm29283,3,0,0,0,0,0,6,0,0,0
ENSMUSG00000042414.7|Prdm14,1073,990,0,0,1685,2042,1894,1845,0,7
ENSMUSG00000005886.14|Ncoa2,3455,4018,7434,10019,3161,3229,3364,3840,13563,10483
ENSMUSG00000103506.1|Gm38376,0,0,45,41,8,0,0,0,70,45
ENSMUSG00000103495.1|Gm37409,0,0,15,7,0,0,0,0,8,14
ENSMUSG00000099183.1|Gm27881,0,0,3,2,0,0,0,0,7,2
ENSMUSG00000102639.1|Gm38223,0,0,3,7,0,0,0,0,16,4
ENSMUSG00000104170.1|Gm37702,0,0,10,27,0,0,0,0,23,16
ENSMUSG00000087782.1|Gm23169,0,0,3,4,0,1,0,0,5,3
ENSMUSG00000102664.1|Gm38380,0,0,54,60,8,3,0,0,171,92
ENSMUSG00000103085.1|Gm38120,2,0,113,113,3,0,3,0,262,126
ENSMUSG00000101476.1|Gm29570,0,0,5,0,0,0,0,0,22,7
ENSMUSG00000101171.1|Gm7593,2,2,0,0,3,2,0,0,0,0
ENSMUSG00000025935.10|Tram1,5089,5201,8808,13435,5307,5622,5032,5233,17660,13130
ENSMUSG00000102982.1|Gm38319,0,31,24,46,0,12,39,12,64,33
ENSMUSG00000025937.6|Lactb2,2201,2892,3312,3972,6018,7109,3247,3617,6612,5274
ENSMUSG00000067813.3|Xkr9,8,0,0,7,22,8,0,0,0,0
ENSMUSG00000097711.1|Gm5523,6,0,6,8,3,3,5,12,2,9
ENSMUSG00000025932.14|Eya1,46,56,332,411,753,745,101,181,636,472
ENSMUSG00000095853.1|Gm22616,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000102588.1|Gm37444,0,0,0,3,0,0,0,0,0,0
ENSMUSG00000054493.2|Gm9947,0,28,13,22,35,23,22,4,44,32
ENSMUSG00000025930.6|Msc,154,309,1,32,378,423,404,339,16,32
ENSMUSG00000081201.1|Smt3h2-ps4,1888,531,1685,1644,1353,843,1156,1533,834,1427
ENSMUSG00000082193.1|Rpl5-ps1,861,966,541,638,1060,941,995,975,811,676
ENSMUSG00000032769.4|Trpa1,106,118,4,0,123,173,129,130,11,23
ENSMUSG00000073737.3|Gm10566,526,577,206,197,767,651,688,759,256,265
ENSMUSG00000092083.4|Kcnb2,3,16,8,6,8,0,0,7,11,21
ENSMUSG00000102937.1|Gm38116,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088829.1|Gm25227,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104149.1|Gm37138,1,0,1,0,2,0,0,0,1,0
ENSMUSG00000032719.4|Sbspon,0,0,9,12,0,0,11,13,20,10
ENSMUSG00000088943.1|Gm23259,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025925.14|Terf1,5125,4988,4885,7094,8288,9269,7455,7593,8481,7460
ENSMUSG00000104379.1|Gm37509,27,25,101,113,14,19,93,37,269,142
ENSMUSG00000067795.13|4930444P10Rik,7,0,4,16,5,8,8,0,6,7
ENSMUSG00000043716.13|Rpl7,96218,87883,73350,118907,67867,62365,79480,84879,154648,124993
ENSMUSG00000025921.7|Rdh10,1105,1023,907,1208,416,321,1045,1154,2046,1693
ENSMUSG00000100868.1|Gm28095,0,0,7,0,0,0,0,0,6,0
ENSMUSG00000025920.19|Stau2,811,927,2475,3871,954,852,744,901,5672,4406
ENSMUSG00000089982.7|Gm7568,0,0,0,7,0,0,0,0,24,12
ENSMUSG00000025939.17|Ube2w,811,1057,1760,3046,838,1093,545,591,3666,2981
ENSMUSG00000102457.1|Gm38342,48,11,121,154,16,6,84,15,224,141
ENSMUSG00000079658.9|Tceb1,4229,3821,5315,7992,3168,2589,4256,3663,10548,8017
ENSMUSG00000025940.6|Tmem70,1640,1722,1613,2418,1813,2394,1551,1441,3278,2518
ENSMUSG00000025779.10|Ly96,37,9,14,13,30,16,18,23,40,39
ENSMUSG00000100093.1|Gm29649,4,0,0,0,0,0,0,0,0,0
ENSMUSG00000091020.3|Gm5828,5,15,36,43,12,9,6,4,79,42
ENSMUSG00000104133.1|4921511E07Rik,0,0,1,0,0,0,0,0,4,0
ENSMUSG00000101640.1|Gm28376,1,1,3,1,0,1,3,0,1,2
ENSMUSG00000042686.5|Jph1,246,291,10461,17051,219,175,282,356,18598,16800
ENSMUSG00000025777.8|Gdap1,7,5,40,62,17,5,12,0,100,68
ENSMUSG00000100398.1|Gm5251,85,58,0,0,77,73,23,71,0,0
ENSMUSG00000101589.1|Rbm6-ps1,44,45,228,237,49,62,64,73,293,208
ENSMUSG00000102048.1|Gm6075,1,0,0,0,0,6,0,0,0,0
ENSMUSG00000067780.3|Pi15,0,8,36,20,0,0,0,0,83,27
ENSMUSG00000100053.1|Gm28154,0,0,0,3,4,0,0,0,7,0
ENSMUSG00000085125.7|Gm16070,0,0,4,14,0,0,0,0,21,5
ENSMUSG00000025776.13|Crispld1,64,57,13,15,15,28,45,28,151,19
ENSMUSG00000099895.1|Gm28153,0,0,0,3,0,0,0,0,0,0
ENSMUSG00000025774.14|Crisp4,0,0,0,0,4,0,0,0,0,0
ENSMUSG00000042596.7|Tfap2d,0,0,0,0,0,3,0,0,0,3
ENSMUSG00000089787.2|Gm15825,2,0,0,0,0,4,0,0,0,0
ENSMUSG00000100720.1|Gm10075,191,208,223,320,153,191,203,272,376,295
ENSMUSG00000025927.13|Tfap2b,16,0,0,0,14,12,0,4,0,0
ENSMUSG00000100538.1|Gm28340,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000101117.1|Gm28341,1,0,4,2,3,0,0,0,5,2
ENSMUSG00000100204.1|Gm4849,16,41,71,95,20,18,23,8,151,99
ENSMUSG00000089914.2|4930486I03Rik,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043760.16|Pkhd1,20,9,0,4,63,22,20,14,0,2
ENSMUSG00000090142.2|Gm15795,0,0,0,0,0,2,0,0,1,0
ENSMUSG00000070175.1|Gm24162,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104095.1|Gm37315,6,0,0,0,0,0,0,0,0,0
ENSMUSG00000041872.9|Il17f,125,47,11,28,123,18,12,5,67,48
ENSMUSG00000041859.10|Mcm3,27066,25618,17826,26366,35601,33646,25504,27462,28994,25434
ENSMUSG00000077314.1|Gm24171,0,0,0,0,0,0,0,0,3,0
ENSMUSG00000025931.15|Paqr8,190,181,168,238,551,489,260,297,379,274
ENSMUSG00000041809.5|Efhc1,28,20,67,127,43,91,67,57,102,172
ENSMUSG00000041779.5|Tram2,462,676,1441,1815,659,875,1020,1048,3443,2091
ENSMUSG00000099971.1|Gm28287,5,0,0,0,0,0,0,0,6,6
ENSMUSG00000025933.15|Tmem14a,82,180,69,86,251,223,206,176,0,46
ENSMUSG00000025934.15|Gsta3,130,314,6,2,225,121,342,251,9,3
ENSMUSG00000099343.1|Gm28836,12,0,0,0,0,0,12,0,0,0
ENSMUSG00000025936.15|Gm4956,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086194.1|Gm16329,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094436.1|Gm16327,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041722.7|Khdc1c,0,0,0,0,0,0,6,11,0,0
ENSMUSG00000085507.1|Gm2709,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094926.1|Gm16533,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085079.3|Khdc1b,0,0,0,4,4,0,4,4,0,0
ENSMUSG00000067750.3|Khdc1a,21,24,0,0,3,5,34,35,0,0
ENSMUSG00000085679.2|Gm16328,6,0,0,0,0,0,0,0,0,0
ENSMUSG00000028033.16|Kcnq5,144,73,38,59,16,0,93,135,85,43
ENSMUSG00000103748.1|Gm38243,0,0,0,0,0,8,0,0,6,4
ENSMUSG00000097109.1|Gm26580,0,4,0,6,1,0,0,0,6,0
ENSMUSG00000104138.1|Gm36949,10,0,4,0,0,0,0,0,0,4
ENSMUSG00000082935.3|Gm7658,257,242,239,323,311,275,284,233,345,391
ENSMUSG00000041670.15|Rims1,637,533,63,124,70,64,408,326,131,42
ENSMUSG00000097642.1|Gm26866,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102766.1|Gm6420,9,0,0,7,3,3,0,0,2,0
ENSMUSG00000026158.11|Ogfrl1,555,784,1124,1514,481,646,735,748,2004,1560
ENSMUSG00000026156.8|B3gat2,340,246,285,607,327,437,219,154,884,418
ENSMUSG00000026155.13|Smap1,3978,4371,4798,6503,4930,5319,4075,3864,9083,6986
ENSMUSG00000026154.4|Sdhaf4,410,386,218,336,419,513,573,554,463,367
ENSMUSG00000102495.1|Gm26524,6,4,2,7,0,0,0,0,4,3
ENSMUSG00000026153.15|Fam135a,1531,1979,4734,7472,1817,2131,1531,1214,10395,8111
ENSMUSG00000102398.1|Gm37580,8,0,28,39,6,16,10,0,28,33
ENSMUSG00000026147.16|Col9a1,36,43,0,3,0,3,40,87,8,0
ENSMUSG00000026141.13|Col19a1,7,0,6,0,15,1,0,6,19,0
ENSMUSG00000077463.1|Gm26418,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099997.1|Tubb4b-ps2,16,20,140,67,10,16,9,45,145,107
ENSMUSG00000100131.1|Gm28439,39442,30218,45247,63394,36611,46105,31944,36591,120389,68971
ENSMUSG00000067736.2|Gm10222,10278,8834,12315,15294,9615,11963,10645,10994,28312,16717
ENSMUSG00000101939.1|Gm28438,5250,3589,9182,12272,2531,2909,4857,5116,18545,12708
ENSMUSG00000101111.1|Gm28437,85565,68628,91638,129080,96377,113261,73906,81561,214116,147831
ENSMUSG00000100862.1|Gm10925,114987,86556,76710,99239,89238,97637,81723,89864,162302,105040
ENSMUSG00000102070.1|Gm28661,138647,95074,67024,89279,114160,134924,108798,117356,172927,98765
ENSMUSG00000101249.1|Gm29216,68168,47148,30391,37912,58020,66735,55022,53615,75771,44992
ENSMUSG00000073725.8|Lmbrd1,1011,1180,1131,1833,1249,1128,890,786,2462,2002
ENSMUSG00000100450.1|Gm9443,2,0,0,0,4,0,0,0,0,0
ENSMUSG00000033569.17|Adgrb3,37,31,174,272,3,19,18,21,441,229
ENSMUSG00000104257.1|Gm20172,0,3,4,0,0,4,0,0,0,0
ENSMUSG00000096866.1|Gm22260,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102296.1|Gm37543,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000103209.1|Gm37331,0,0,4,0,0,0,0,0,17,5
ENSMUSG00000104027.1|Gm37211,0,0,4,10,0,0,0,0,5,3
ENSMUSG00000102407.1|Gm37862,0,0,1,11,0,0,0,0,29,2
ENSMUSG00000103214.1|Gm38286,0,0,3,8,0,0,0,0,8,4
ENSMUSG00000104100.1|Gm37880,0,0,22,13,0,0,0,0,19,4
ENSMUSG00000084740.1|Gm25294,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103889.1|Gm37011,0,0,3,4,0,0,0,0,0,7
ENSMUSG00000101301.1|Gm29214,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104221.1|Gm37051,0,0,3,0,0,0,0,0,0,0
ENSMUSG00000102250.1|Gm38260,0,0,3,21,0,0,0,0,61,0
ENSMUSG00000102317.1|Gm37628,0,0,13,23,4,0,0,0,30,21
ENSMUSG00000103563.1|8030445P17Rik,0,4,0,3,0,0,0,0,19,4
ENSMUSG00000102465.1|Gm38198,0,0,21,10,0,0,0,0,14,4
ENSMUSG00000103924.1|Gm37895,0,0,12,6,0,0,0,0,7,13
ENSMUSG00000104132.1|Gm36952,0,0,5,27,0,0,0,0,42,9
ENSMUSG00000080849.1|Gm15702,1,0,3,1,1,1,0,0,1,1
ENSMUSG00000102659.1|Gm37077,24,0,15,19,4,11,0,0,25,12
ENSMUSG00000102747.1|Gm37602,5,4,22,30,0,0,0,0,56,20
ENSMUSG00000102386.1|2900022M07Rik,4,0,0,0,0,8,0,0,4,0
ENSMUSG00000103004.1|2900002M20Rik,3,0,1,5,0,0,0,0,5,1
ENSMUSG00000101514.1|Gm5524,0,0,0,0,4,0,0,0,0,0
ENSMUSG00000101033.1|Gm18776,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086240.4|Gm7846,286,197,71,99,498,405,288,427,89,75
ENSMUSG00000099492.1|Gm5525,158,152,343,283,236,156,184,181,386,270
ENSMUSG00000101726.1|Gm7858,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000100261.1|Gm6473,0,0,124,141,76,128,146,101,192,105
ENSMUSG00000103783.1|Gm37522,0,0,59,112,4,0,0,13,195,105
ENSMUSG00000048874.15|Phf3,11512,12231,12177,19324,11298,11152,11800,11525,28795,18521
ENSMUSG00000104315.1|Gm37906,8,2,219,267,13,0,17,0,584,259
ENSMUSG00000026064.15|Ptp4a1,6047,5863,8680,13298,8814,9187,5539,5790,21058,15093
ENSMUSG00000086151.3|Gm5698,132,75,0,0,4,15,133,63,0,0
ENSMUSG00000086726.2|Gm9458,14,8,0,0,0,0,14,5,0,4
ENSMUSG00000087346.2|Gm5699,19,45,0,0,42,8,104,32,2,0
ENSMUSG00000086727.7|4931428L18Rik,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100910.1|Gm29128,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000050217.13|Lgsn,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099796.1|Gm7893,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000094215.2|Gm6489,45,58,0,0,7,0,72,39,0,0
ENSMUSG00000070960.4|Gm19680,224,290,311,405,237,278,303,420,591,438
ENSMUSG00000082159.2|Gm7910,3,0,0,0,0,0,0,0,0,0
ENSMUSG00000026058.11|Khdrbs2,10,4,0,0,8,5,0,0,0,0
ENSMUSG00000064688.1|Gm25814,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103482.1|Gm37999,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104313.1|Gm37911,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102321.1|Gm37792,0,0,0,0,0,0,0,0,0,4
ENSMUSG00000089489.1|Gm24732,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104498.1|Gm37110,7,2,26,25,3,5,15,5,36,14
ENSMUSG00000102865.1|Gm9839,12,10,0,0,2,0,0,0,0,1
ENSMUSG00000091318.2|Gm5415,10,11,0,0,8,4,0,0,0,0
ENSMUSG00000102926.1|Gm37151,11,0,0,0,0,0,0,0,0,0
ENSMUSG00000102917.1|Gm37724,4,4,6,11,11,3,7,3,20,17
ENSMUSG00000100481.1|Gm7114,10,9,7,11,10,3,0,0,8,5
ENSMUSG00000101612.2|Gm7933,7,0,0,0,9,0,0,3,0,0
ENSMUSG00000026134.11|Prim2,3387,2693,2344,4040,3889,3806,2607,2629,4897,3444
ENSMUSG00000102714.1|Gm37618,0,0,67,106,4,0,4,0,172,81
ENSMUSG00000102093.1|Gm17813,0,0,2,8,0,0,0,0,19,8
ENSMUSG00000101682.1|Gm29228,3,0,5,8,0,0,0,0,13,2
ENSMUSG00000103746.1|1700001G17Rik,18,5,24,39,14,0,29,12,48,42
ENSMUSG00000102198.1|Gm38173,4,0,7,0,0,12,0,0,5,4
ENSMUSG00000004768.14|Rab23,2449,3108,1967,3033,2649,2880,2069,2552,4215,3036
ENSMUSG00000042215.8|Bag2,662,606,769,1195,422,272,676,814,1355,1243
ENSMUSG00000103072.1|Gm37905,0,2,0,0,0,0,0,0,2,9
ENSMUSG00000042197.13|Zfp451,3612,4626,8546,12120,4664,5346,3049,2974,19810,12712
ENSMUSG00000081402.4|Gm15455,55,98,15,24,114,83,122,61,17,11
ENSMUSG00000042182.16|Bend6,115,100,196,303,242,281,136,134,383,336
ENSMUSG00000099382.1|Gm28631,0,0,3,13,0,0,0,0,10,2
ENSMUSG00000084506.1|Gm23792,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000026131.17|Dst,13199,11846,15699,19337,9916,9788,18132,14524,34005,19771
ENSMUSG00000105982.1|Mir6896,0,0,1,2,1,0,0,0,0,0
ENSMUSG00000104416.1|Gm37067,8,0,4,5,16,0,0,0,12,3
ENSMUSG00000103596.1|Gm37354,5,0,76,99,0,0,4,0,228,124
ENSMUSG00000103364.1|Gm38157,41,16,32,44,12,4,22,21,123,28
ENSMUSG00000096992.3|Gm26788,137,105,161,284,7,70,157,40,411,283
ENSMUSG00000104475.1|D630036G22Rik,33,9,56,101,4,10,24,42,162,93
ENSMUSG00000103001.1|A930005N03Rik,11,0,31,21,0,0,0,0,104,35
ENSMUSG00000102839.1|Gm37385,1,0,1,2,4,1,1,0,6,8
ENSMUSG00000101462.2|Gm3052,0,4,1,1,1,8,0,3,2,3
ENSMUSG00000026127.13|Imp4,8332,7740,5692,9160,5800,5851,6134,6988,12103,9359
ENSMUSG00000101206.1|Gm5266,9,0,0,0,4,0,0,4,0,3
ENSMUSG00000102336.1|Gm37233,14,8,14,10,20,12,16,6,3,4
ENSMUSG00000092852.1|Mir5103,1,0,0,0,0,1,0,0,0,0
ENSMUSG00000042111.9|Ccdc115,2318,1911,680,1042,1854,2014,1612,1761,1185,1031
ENSMUSG00000101711.1|Gm28306,17,15,4,17,27,35,32,8,23,15
ENSMUSG00000026126.15|Ptpn18,202,146,33,59,123,101,77,78,108,60
ENSMUSG00000100280.2|Gm28417,10,16,11,6,5,19,14,4,19,6
ENSMUSG00000101223.6|4930568A12Rik,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000026125.9|Prss39,5,0,0,0,0,0,0,0,0,0
ENSMUSG00000101803.1|Gm28419,0,0,3,0,0,0,0,0,2,3
ENSMUSG00000037529.13|Prss40,0,0,0,0,7,0,0,0,0,8
ENSMUSG00000026124.4|Cfc1,19,25,16,12,0,0,35,32,76,90
ENSMUSG00000045174.10|Amer3,0,4,0,15,14,4,0,0,4,8
ENSMUSG00000045815.4|1700101I19Rik,4,0,0,4,16,0,0,0,0,0
ENSMUSG00000037509.18|Arhgef4,261,387,566,1134,194,365,323,264,1490,692
ENSMUSG00000102537.1|Gm37224,0,0,1,0,0,0,0,0,4,0
ENSMUSG00000102612.1|Gm37845,0,0,11,0,0,0,0,0,7,2
ENSMUSG00000037503.12|Fam168b,5507,6632,8631,13381,8091,10191,6910,6823,19936,13986
ENSMUSG00000104358.1|Gm37127,0,0,256,394,8,0,12,12,670,403
ENSMUSG00000104002.2|Gm38336,66,61,146,161,75,47,46,50,276,187
ENSMUSG00000026123.11|Plekhb2,958,1091,989,1463,2401,2623,1107,1073,2549,1774
